passenger_id,name,passenger_type,loyalty_level
P000136,Passenger_136,LOYALTY,4
P000137,Passenger_137,UNACCOMPANIED_MINOR,0
P000138,Passenger_138,NORMAL,3
P000139,Passenger_139,NORMAL,2
P000140,Passenger_140,UNACCOMPANIED_MINOR,4
P000141,Passenger_141,UNACCOMPANIED_MINOR,1
P000142,Passenger_142,LOYALTY,0
P000143,Passenger_143,UNACCOMPANIED_MINOR,4
P000144,Passenger_144,NORMAL,0
P000145,Passenger_145,UNACCOMPANIED_MINOR,3
P000146,Passenger_146,VIP,0
P000147,Passenger_147,VIP,1
P000148,Passenger_148,LOYALTY,1
P000149,Passenger_149,NORMAL,2
P000150,Passenger_150,VIP,2
P000151,Passenger_151,UNACCOMPANIED_MINOR,1
P000152,Passenger_152,VIP,1
P000153,Passenger_153,VIP,1
P000154,Passenger_154,LOYALTY,4
P000155,Passenger_155,UNACCOMPANIED_MINOR,0
P000156,Passenger_156,UNACCOMPANIED_MINOR,4
P000157,Passenger_157,UNACCOMPANIED_MINOR,3
P000158,Passenger_158,LOYALTY,2
P000159,Passenger_159,UNACCOMPANIED_MINOR,0
P000160,Passenger_160,UNACCOMPANIED_MINOR,2
P000161,Passenger_161,VIP,3
P000162,Passenger_162,VIP,1
P000163,Passenger_163,UNACCOMPANIED_MINOR,2
P000164,Passenger_164,NORMAL,1
P000165,Passenger_165,NORMAL,2
P000166,Passenger_166,UNACCOMPANIED_MINOR,3
P000167,Passenger_167,NORMAL,2
P000168,Passenger_168,LOYALTY,3
P000169,Passenger_169,VIP,0
P000170,Passenger_170,LOYALTY,4
P000171,Passenger_171,VIP,3
P000172,Passenger_172,NORMAL,2
P000173,Passenger_173,NORMAL,0
P000174,Passenger_174,UNACCOMPANIED_MINOR,3
P000175,Passenger_175,NORMAL,2
P000176,Passenger_176,NORMAL,3
P000177,Passenger_177,UNACCOMPANIED_MINOR,3
P000178,Passenger_178,UNACCOMPANIED_MINOR,1
P000179,Passenger_179,VIP,2
P000180,Passenger_180,NORMAL,4
P000181,Passenger_181,VIP,3
P000182,Passenger_182,VIP,0
P000183,Passenger_183,LOYALTY,2
P000184,Passenger_184,NORMAL,4
P000185,Passenger_185,NORMAL,2
P000186,Passenger_186,LOYALTY,4
P000187,Passenger_187,VIP,4
P000188,Passenger_188,NORMAL,3
P000189,Passenger_189,VIP,1
P000190,Passenger_190,LOYALTY,2
P000191,Passenger_191,UNACCOMPANIED_MINOR,0
P000192,Passenger_192,VIP,0
P000193,Passenger_193,NORMAL,1
P000194,Passenger_194,UNACCOMPANIED_MINOR,0
P000195,Passenger_195,VIP,2
P000196,Passenger_196,VIP,0
P000197,Passenger_197,UNACCOMPANIED_MINOR,2
P000198,Passenger_198,UNACCOMPANIED_MINOR,4
P000199,Passenger_199,UNACCOMPANIED_MINOR,3
P000200,Passenger_200,NORMAL,1
P000201,Passenger_201,NORMAL,1
P000202,Passenger_202,VIP,0
P000203,Passenger_203,VIP,2
P000204,Passenger_204,LOYALTY,3
P000205,Passenger_205,NORMAL,0
P000206,Passenger_206,VIP,3
P000207,Passenger_207,UNACCOMPANIED_MINOR,2
P000208,Passenger_208,UNACCOMPANIED_MINOR,0
P000209,Passenger_209,NORMAL,0
P000210,Passenger_210,UNACCOMPANIED_MINOR,3
P000211,Passenger_211,LOYALTY,0
P000212,Passenger_212,VIP,3
P000213,Passenger_213,VIP,2
P000214,Passenger_214,VIP,3
P000215,Passenger_215,NORMAL,2
P000216,Passenger_216,UNACCOMPANIED_MINOR,2
P000217,Passenger_217,LOYALTY,4
P000218,Passenger_218,NORMAL,3
P000219,Passenger_219,VIP,1
P000220,Passenger_220,LOYALTY,4
P000221,Passenger_221,VIP,4
P000222,Passenger_222,VIP,3
P000223,Passenger_223,NORMAL,4
P000224,Passenger_224,VIP,4
P000225,Passenger_225,LOYALTY,0
P000226,Passenger_226,VIP,2
P000227,Passenger_227,UNACCOMPANIED_MINOR,1
P000228,Passenger_228,VIP,3
P000229,Passenger_229,NORMAL,0
P000230,Passenger_230,LOYALTY,1
P000231,Passenger_231,NORMAL,1
P000232,Passenger_232,UNACCOMPANIED_MINOR,0
P000233,Passenger_233,VIP,3
P000234,Passenger_234,NORMAL,2
P000235,Passenger_235,NORMAL,0
P000236,Passenger_236,NORMAL,4
P000237,Passenger_237,NORMAL,1
P000238,Passenger_238,UNACCOMPANIED_MINOR,4
P000239,Passenger_239,UNACCOMPANIED_MINOR,3
P000240,Passenger_240,VIP,2
P000241,Passenger_241,VIP,2
P000242,Passenger_242,LOYALTY,2
P000243,Passenger_243,UNACCOMPANIED_MINOR,4
P000244,Passenger_244,NORMAL,3
P000245,Passenger_245,NORMAL,4
P000246,Passenger_246,LOYALTY,1
P000247,Passenger_247,NORMAL,2
P000248,Passenger_248,LOYALTY,3
P000249,Passenger_249,VIP,4
P000250,Passenger_250,UNACCOMPANIED_MINOR,4
P000251,Passenger_251,LOYALTY,4
P000252,Passenger_252,NORMAL,4
P000253,Passenger_253,LOYALTY,4
P000254,Passenger_254,VIP,1
P000255,Passenger_255,NORMAL,2
P000256,Passenger_256,VIP,4
P000257,Passenger_257,VIP,1
P000258,Passenger_258,LOYALTY,3
P000259,Passenger_259,VIP,3
P000260,Passenger_260,NORMAL,1
P000261,Passenger_261,VIP,1
P000262,Passenger_262,VIP,1
P000263,Passenger_263,LOYALTY,3
P000264,Passenger_264,VIP,4
P000265,Passenger_265,UNACCOMPANIED_MINOR,2
P000266,Passenger_266,LOYALTY,4
P000267,Passenger_267,LOYALTY,0
P000268,Passenger_268,NORMAL,1
P000269,Passenger_269,NORMAL,4
P000270,Passenger_270,NORMAL,2
P000271,Passenger_271,NORMAL,4
P000272,Passenger_272,UNACCOMPANIED_MINOR,0
P000273,Passenger_273,LOYALTY,0
P000274,Passenger_274,VIP,4
P000275,Passenger_275,NORMAL,2
P000276,Passenger_276,NORMAL,4
P000277,Passenger_277,NORMAL,1
P000278,Passenger_278,VIP,2
P000279,Passenger_279,NORMAL,3
P000280,Passenger_280,VIP,2
P000281,Passenger_281,LOYALTY,4
P000282,Passenger_282,LOYALTY,4
P000283,Passenger_283,LOYALTY,3
P000284,Passenger_284,UNACCOMPANIED_MINOR,0
P000285,Passenger_285,VIP,4
P000286,Passenger_286,NORMAL,0
P000287,Passenger_287,NORMAL,0
P000288,Passenger_288,NORMAL,1
P000289,Passenger_289,NORMAL,0
P000290,Passenger_290,UNACCOMPANIED_MINOR,2
P000291,Passenger_291,NORMAL,0
P000292,Passenger_292,UNACCOMPANIED_MINOR,1
P000293,Passenger_293,VIP,4
P000294,Passenger_294,LOYALTY,4
P000295,Passenger_295,NORMAL,3
P000296,Passenger_296,LOYALTY,0
P000297,Passenger_297,VIP,2
P000298,Passenger_298,VIP,3
P000299,Passenger_299,NORMAL,3
P000300,Passenger_300,VIP,1
P000301,Passenger_301,LOYALTY,4
P000302,Passenger_302,NORMAL,0
P000303,Passenger_303,UNACCOMPANIED_MINOR,0
P000304,Passenger_304,NORMAL,4
P000305,Passenger_305,LOYALTY,1
P000306,Passenger_306,NORMAL,1
P000307,Passenger_307,NORMAL,1
P000308,Passenger_308,LOYALTY,2
P000309,Passenger_309,NORMAL,0
P000310,Passenger_310,NORMAL,1
P000311,Passenger_311,LOYALTY,1
P000312,Passenger_312,VIP,4
P000313,Passenger_313,LOYALTY,3
P000314,Passenger_314,NORMAL,3
P000315,Passenger_315,UNACCOMPANIED_MINOR,3
P000316,Passenger_316,UNACCOMPANIED_MINOR,0
P000317,Passenger_317,LOYALTY,2
P000318,Passenger_318,UNACCOMPANIED_MINOR,0
P000319,Passenger_319,NORMAL,4
P000320,Passenger_320,NORMAL,1
P000321,Passenger_321,LOYALTY,0
P000322,Passenger_322,NORMAL,3
P000323,Passenger_323,VIP,2
P000324,Passenger_324,NORMAL,4
P000325,Passenger_325,LOYALTY,1
P000326,Passenger_326,VIP,2
P000327,Passenger_327,VIP,0
P000328,Passenger_328,UNACCOMPANIED_MINOR,0
P000329,Passenger_329,NORMAL,2
P000330,Passenger_330,LOYALTY,2
P000331,Passenger_331,UNACCOMPANIED_MINOR,1
P000332,Passenger_332,UNACCOMPANIED_MINOR,3
P000333,Passenger_333,NORMAL,2
P000334,Passenger_334,NORMAL,1
P000335,Passenger_335,LOYALTY,2
P000336,Passenger_336,UNACCOMPANIED_MINOR,2
P000337,Passenger_337,LOYALTY,3
P000338,Passenger_338,UNACCOMPANIED_MINOR,1
P000339,Passenger_339,UNACCOMPANIED_MINOR,0
P000340,Passenger_340,UNACCOMPANIED_MINOR,1
P000341,Passenger_341,NORMAL,1
P000342,Passenger_342,UNACCOMPANIED_MINOR,1
P000343,Passenger_343,UNACCOMPANIED_MINOR,3
P000344,Passenger_344,UNACCOMPANIED_MINOR,3
P000345,Passenger_345,VIP,4
P000346,Passenger_346,NORMAL,0
P000347,Passenger_347,VIP,3
P000348,Passenger_348,NORMAL,3
P000349,Passenger_349,LOYALTY,1
P000350,Passenger_350,VIP,1
P000351,Passenger_351,LOYALTY,2
P000352,Passenger_352,UNACCOMPANIED_MINOR,2
P000353,Passenger_353,LOYALTY,2
P000354,Passenger_354,LOYALTY,3
P000355,Passenger_355,LOYALTY,2
P000356,Passenger_356,LOYALTY,0
P000357,Passenger_357,NORMAL,2
P000358,Passenger_358,VIP,4
P000359,Passenger_359,NORMAL,4
P000360,Passenger_360,NORMAL,1
P000361,Passenger_361,NORMAL,3
P000362,Passenger_362,LOYALTY,4
P000363,Passenger_363,NORMAL,0
P000364,Passenger_364,VIP,1
P000365,Passenger_365,NORMAL,4
P000366,Passenger_366,UNACCOMPANIED_MINOR,2
P000367,Passenger_367,LOYALTY,4
P000368,Passenger_368,UNACCOMPANIED_MINOR,4
P000369,Passenger_369,VIP,1
P000370,Passenger_370,VIP,3
P000371,Passenger_371,VIP,2
P000372,Passenger_372,VIP,2
P000373,Passenger_373,NORMAL,2
P000374,Passenger_374,LOYALTY,2
P000375,Passenger_375,VIP,3
P000376,Passenger_376,UNACCOMPANIED_MINOR,2
P000377,Passenger_377,VIP,3
P000378,Passenger_378,LOYALTY,1
P000379,Passenger_379,UNACCOMPANIED_MINOR,0
P000380,Passenger_380,UNACCOMPANIED_MINOR,3
P000381,Passenger_381,UNACCOMPANIED_MINOR,2
P000382,Passenger_382,NORMAL,1
P000383,Passenger_383,VIP,1
P000384,Passenger_384,NORMAL,4
P000385,Passenger_385,UNACCOMPANIED_MINOR,4
P000386,Passenger_386,NORMAL,0
P000387,Passenger_387,NORMAL,0
P000388,Passenger_388,NORMAL,4
P000389,Passenger_389,VIP,4
P000390,Passenger_390,UNACCOMPANIED_MINOR,1
P000391,Passenger_391,UNACCOMPANIED_MINOR,3
P000392,Passenger_392,VIP,4
P000393,Passenger_393,NORMAL,2
P000394,Passenger_394,NORMAL,3
P000395,Passenger_395,LOYALTY,3
P000396,Passenger_396,LOYALTY,2
P000397,Passenger_397,LOYALTY,2
P000398,Passenger_398,VIP,2
P000399,Passenger_399,UNACCOMPANIED_MINOR,1
P000400,Passenger_400,LOYALTY,4
P000401,Passenger_401,UNACCOMPANIED_MINOR,4
P000402,Passenger_402,UNACCOMPANIED_MINOR,1
P000403,Passenger_403,UNACCOMPANIED_MINOR,3
P000404,Passenger_404,VIP,1
P000405,Passenger_405,VIP,4
P000406,Passenger_406,VIP,0
P000407,Passenger_407,VIP,1
P000408,Passenger_408,LOYALTY,0
P000409,Passenger_409,NORMAL,0
P000410,Passenger_410,NORMAL,2
P000411,Passenger_411,NORMAL,2
P000412,Passenger_412,LOYALTY,2
P000413,Passenger_413,NORMAL,0
P000414,Passenger_414,LOYALTY,4
P000415,Passenger_415,LOYALTY,2
P000416,Passenger_416,LOYALTY,2
P000417,Passenger_417,NORMAL,3
P000418,Passenger_418,UNACCOMPANIED_MINOR,0
P000419,Passenger_419,NORMAL,0
P000420,Passenger_420,NORMAL,2
P000421,Passenger_421,VIP,3
P000422,Passenger_422,LOYALTY,3
P000423,Passenger_423,UNACCOMPANIED_MINOR,1
P000424,Passenger_424,VIP,1
P000425,Passenger_425,UNACCOMPANIED_MINOR,2
P000426,Passenger_426,UNACCOMPANIED_MINOR,0
P000427,Passenger_427,LOYALTY,3
P000428,Passenger_428,NORMAL,3
P000429,Passenger_429,LOYALTY,3
P000430,Passenger_430,LOYALTY,0
P000431,Passenger_431,VIP,1
P000432,Passenger_432,LOYALTY,2
P000433,Passenger_433,NORMAL,1
P000434,Passenger_434,UNACCOMPANIED_MINOR,3
P000435,Passenger_435,LOYALTY,3
P000436,Passenger_436,UNACCOMPANIED_MINOR,0
P000437,Passenger_437,LOYALTY,0
P000438,Passenger_438,UNACCOMPANIED_MINOR,0
P000439,Passenger_439,LOYALTY,2
P000440,Passenger_440,VIP,4
P000441,Passenger_441,UNACCOMPANIED_MINOR,4
P000442,Passenger_442,LOYALTY,2
P000443,Passenger_443,LOYALTY,2
P000444,Passenger_444,VIP,2
P000445,Passenger_445,VIP,1
P000446,Passenger_446,VIP,2
P000447,Passenger_447,UNACCOMPANIED_MINOR,1
P000448,Passenger_448,UNACCOMPANIED_MINOR,0
P000449,Passenger_449,VIP,3
P000450,Passenger_450,NORMAL,4
P000451,Passenger_451,NORMAL,3
P000452,Passenger_452,LOYALTY,4
P000453,Passenger_453,NORMAL,0
P000454,Passenger_454,LOYALTY,4
P000455,Passenger_455,UNACCOMPANIED_MINOR,0
P000456,Passenger_456,UNACCOMPANIED_MINOR,3
P000457,Passenger_457,NORMAL,1
P000458,Passenger_458,UNACCOMPANIED_MINOR,4
P000459,Passenger_459,VIP,2
P000460,Passenger_460,VIP,1
P000461,Passenger_461,NORMAL,1
P000462,Passenger_462,NORMAL,0
P000463,Passenger_463,LOYALTY,3
P000464,Passenger_464,UNACCOMPANIED_MINOR,2
P000465,Passenger_465,LOYALTY,3
P000466,Passenger_466,LOYALTY,3
P000467,Passenger_467,VIP,1
P000468,Passenger_468,VIP,2
P000469,Passenger_469,VIP,4
P000470,Passenger_470,VIP,2
P000471,Passenger_471,LOYALTY,0
P000472,Passenger_472,VIP,1
P000473,Passenger_473,UNACCOMPANIED_MINOR,2
P000474,Passenger_474,VIP,0
P000475,Passenger_475,VIP,4
P000476,Passenger_476,VIP,3
P000477,Passenger_477,NORMAL,3
P000478,Passenger_478,UNACCOMPANIED_MINOR,0
P000479,Passenger_479,UNACCOMPANIED_MINOR,1
P000480,Passenger_480,LOYALTY,3
P000481,Passenger_481,LOYALTY,1
P000482,Passenger_482,VIP,1
P000483,Passenger_483,NORMAL,3
P000484,Passenger_484,LOYALTY,4
P000485,Passenger_485,LOYALTY,2
P000486,Passenger_486,VIP,3
P000487,Passenger_487,VIP,2
P000488,Passenger_488,LOYALTY,1
P000489,Passenger_489,LOYALTY,4
P000490,Passenger_490,UNACCOMPANIED_MINOR,1
P000491,Passenger_491,NORMAL,4
P000492,Passenger_492,UNACCOMPANIED_MINOR,0
P000493,Passenger_493,LOYALTY,4
P000494,Passenger_494,UNACCOMPANIED_MINOR,4
P000495,Passenger_495,UNACCOMPANIED_MINOR,1
P000496,Passenger_496,LOYALTY,3
P000497,Passenger_497,VIP,3
P000498,Passenger_498,LOYALTY,2
P000499,Passenger_499,VIP,0
P000500,Passenger_500,LOYALTY,4
P000501,Passenger_501,LOYALTY,2
P000502,Passenger_502,LOYALTY,4
P000503,Passenger_503,NORMAL,4
P000504,Passenger_504,VIP,0
P000505,Passenger_505,NORMAL,0
P000506,Passenger_506,LOYALTY,2
P000507,Passenger_507,UNACCOMPANIED_MINOR,3
P000508,Passenger_508,NORMAL,4
P000509,Passenger_509,VIP,1
P000510,Passenger_510,LOYALTY,2
P000511,Passenger_511,NORMAL,4
P000512,Passenger_512,UNACCOMPANIED_MINOR,0
P000513,Passenger_513,NORMAL,0
P000514,Passenger_514,VIP,0
P000515,Passenger_515,NORMAL,0
P000516,Passenger_516,UNACCOMPANIED_MINOR,3
P000517,Passenger_517,UNACCOMPANIED_MINOR,3
P000518,Passenger_518,VIP,4
P000519,Passenger_519,UNACCOMPANIED_MINOR,4
P000520,Passenger_520,LOYALTY,2
P000521,Passenger_521,UNACCOMPANIED_MINOR,0
P000522,Passenger_522,LOYALTY,0
P000523,Passenger_523,NORMAL,1
P000524,Passenger_524,LOYALTY,1
P000525,Passenger_525,LOYALTY,0
P000526,Passenger_526,NORMAL,1
P000527,Passenger_527,UNACCOMPANIED_MINOR,1
P000528,Passenger_528,LOYALTY,0
P000529,Passenger_529,UNACCOMPANIED_MINOR,3
P000530,Passenger_530,NORMAL,3
P000531,Passenger_531,VIP,4
P000532,Passenger_532,UNACCOMPANIED_MINOR,3
P000533,Passenger_533,UNACCOMPANIED_MINOR,0
P000534,Passenger_534,VIP,1
P000535,Passenger_535,VIP,0
P000536,Passenger_536,NORMAL,2
P000537,Passenger_537,UNACCOMPANIED_MINOR,1
P000538,Passenger_538,UNACCOMPANIED_MINOR,0
P000539,Passenger_539,NORMAL,4
P000540,Passenger_540,UNACCOMPANIED_MINOR,4
P000541,Passenger_541,LOYALTY,1
P000542,Passenger_542,LOYALTY,3
P000543,Passenger_543,LOYALTY,4
P000544,Passenger_544,UNACCOMPANIED_MINOR,2
P000545,Passenger_545,LOYALTY,1
P000546,Passenger_546,LOYALTY,2
P000547,Passenger_547,NORMAL,1
P000548,Passenger_548,NORMAL,3
P000549,Passenger_549,VIP,0
P000550,Passenger_550,VIP,1
P000551,Passenger_551,VIP,0
P000552,Passenger_552,VIP,1
P000553,Passenger_553,NORMAL,3
P000554,Passenger_554,NORMAL,2
P000555,Passenger_555,NORMAL,0
P000556,Passenger_556,LOYALTY,2
P000557,Passenger_557,LOYALTY,1
P000558,Passenger_558,VIP,1
P000559,Passenger_559,LOYALTY,3
P000560,Passenger_560,UNACCOMPANIED_MINOR,1
P000561,Passenger_561,NORMAL,3
P000562,Passenger_562,VIP,1
P000563,Passenger_563,VIP,2
P000564,Passenger_564,UNACCOMPANIED_MINOR,1
P000565,Passenger_565,LOYALTY,0
P000566,Passenger_566,VIP,4
P000567,Passenger_567,LOYALTY,0
P000568,Passenger_568,LOYALTY,0
P000569,Passenger_569,UNACCOMPANIED_MINOR,3
P000570,Passenger_570,VIP,1
P000571,Passenger_571,LOYALTY,2
P000572,Passenger_572,LOYALTY,1
P000573,Passenger_573,UNACCOMPANIED_MINOR,4
P000574,Passenger_574,UNACCOMPANIED_MINOR,1
P000575,Passenger_575,LOYALTY,4
P000576,Passenger_576,UNACCOMPANIED_MINOR,4
P000577,Passenger_577,LOYALTY,0
P000578,Passenger_578,VIP,4
P000579,Passenger_579,NORMAL,4
P000580,Passenger_580,UNACCOMPANIED_MINOR,2
P000581,Passenger_581,NORMAL,3
P000582,Passenger_582,LOYALTY,1
P000583,Passenger_583,LOYALTY,2
P000584,Passenger_584,LOYALTY,3
P000585,Passenger_585,NORMAL,0
P000586,Passenger_586,LOYALTY,2
P000587,Passenger_587,UNACCOMPANIED_MINOR,2
P000588,Passenger_588,VIP,0
P000589,Passenger_589,VIP,4
P000590,Passenger_590,UNACCOMPANIED_MINOR,0
P000591,Passenger_591,VIP,1
P000592,Passenger_592,NORMAL,0
P000593,Passenger_593,LOYALTY,2
P000594,Passenger_594,LOYALTY,0
P000595,Passenger_595,LOYALTY,1
P000596,Passenger_596,NORMAL,4
P000597,Passenger_597,NORMAL,4
P000598,Passenger_598,NORMAL,3
P000599,Passenger_599,UNACCOMPANIED_MINOR,3
P000600,Passenger_600,NORMAL,1
P000601,Passenger_601,VIP,3
P000602,Passenger_602,UNACCOMPANIED_MINOR,4
P000603,Passenger_603,UNACCOMPANIED_MINOR,4
P000604,Passenger_604,UNACCOMPANIED_MINOR,3
P000605,Passenger_605,NORMAL,0
P000606,Passenger_606,UNACCOMPANIED_MINOR,4
P000607,Passenger_607,NORMAL,3
P000608,Passenger_608,NORMAL,3
P000609,Passenger_609,UNACCOMPANIED_MINOR,1
P000610,Passenger_610,LOYALTY,1
P000611,Passenger_611,LOYALTY,4
P000612,Passenger_612,UNACCOMPANIED_MINOR,2
P000613,Passenger_613,LOYALTY,3
P000614,Passenger_614,VIP,0
P000615,Passenger_615,VIP,2
P000616,Passenger_616,NORMAL,3
P000617,Passenger_617,LOYALTY,2
P000618,Passenger_618,VIP,3
P000619,Passenger_619,UNACCOMPANIED_MINOR,3
P000620,Passenger_620,LOYALTY,2
P000621,Passenger_621,VIP,1
P000622,Passenger_622,VIP,3
P000623,Passenger_623,UNACCOMPANIED_MINOR,4
P000624,Passenger_624,NORMAL,2
P000625,Passenger_625,UNACCOMPANIED_MINOR,1
P000626,Passenger_626,NORMAL,0
P000627,Passenger_627,VIP,3
P000628,Passenger_628,NORMAL,3
P000629,Passenger_629,VIP,4
P000630,Passenger_630,VIP,1
P000631,Passenger_631,LOYALTY,3
P000632,Passenger_632,NORMAL,1
P000633,Passenger_633,NORMAL,3
P000634,Passenger_634,NORMAL,0
P000635,Passenger_635,UNACCOMPANIED_MINOR,4
P000636,Passenger_636,LOYALTY,0
P000637,Passenger_637,LOYALTY,0
P000638,Passenger_638,LOYALTY,2
P000639,Passenger_639,UNACCOMPANIED_MINOR,0
P000640,Passenger_640,NORMAL,4
P000641,Passenger_641,NORMAL,4
P000642,Passenger_642,NORMAL,3
P000643,Passenger_643,LOYALTY,0
P000644,Passenger_644,LOYALTY,1
P000645,Passenger_645,VIP,2
P000646,Passenger_646,UNACCOMPANIED_MINOR,2
P000647,Passenger_647,UNACCOMPANIED_MINOR,2
P000648,Passenger_648,LOYALTY,4
P000649,Passenger_649,VIP,4
P000650,Passenger_650,NORMAL,3
P000651,Passenger_651,LOYALTY,0
P000652,Passenger_652,UNACCOMPANIED_MINOR,4
P000653,Passenger_653,UNACCOMPANIED_MINOR,2
P000654,Passenger_654,UNACCOMPANIED_MINOR,4
P000655,Passenger_655,NORMAL,0
P000656,Passenger_656,UNACCOMPANIED_MINOR,4
