pnr_id,passenger_id,flight_id,seat_class
PNR000095,P000095,FL09331,ECONOMY
PNR000096,P000096,FL04172,ECONOMY
PNR000097,P000097,FL04781,BUSINESS
PNR000098,P000098,FL00322,ECONOMY
PNR000099,P000099,FL00188,FIRST
PNR000100,P000100,FL08472,FIRST
PNR000101,P000101,FL02248,ECONOMY
PNR000102,P000102,FL05647,ECONOMY
PNR000103,P000103,FL09958,BUSINESS
PNR000104,P000104,FL07626,FIRST
PNR000105,P000105,FL06136,ECONOMY
PNR000106,P000106,FL08028,FIRST
PNR000107,P000107,FL09666,BUSINESS
PNR000108,P000108,FL03875,FIRST
PNR000109,P000109,FL06302,BUSINESS
PNR000110,P000110,FL01796,ECONOMY
PNR000111,P000111,FL05389,ECONOMY
PNR000112,P000112,FL04872,FIRST
PNR000113,P000113,FL03162,FIRST
PNR000114,P000114,FL09925,ECONOMY
PNR000115,P000115,FL08576,BUSINESS
PNR000116,P000116,FL02287,FIRST
PNR000117,P000117,FL03553,ECONOMY
PNR000118,P000118,FL09746,FIRST
PNR000119,P000119,FL04157,BUSINESS
PNR000120,P000120,FL05340,BUSINESS
PNR000121,P000121,FL06360,ECONOMY
PNR000122,P000122,FL01103,ECONOMY
PNR000123,P000123,FL06045,FIRST
PNR000124,P000124,FL07644,BUSINESS
PNR000125,P000125,FL00796,ECONOMY
PNR000126,P000126,FL04794,ECONOMY
PNR000127,P000127,FL06548,BUSINESS
PNR000128,P000128,FL04021,FIRST
PNR000129,P000129,FL00840,BUSINESS
PNR000130,P000130,FL09205,BUSINESS
PNR000131,P000131,FL03170,BUSINESS
PNR000132,P000132,FL00001,ECONOMY
PNR000133,P000133,FL08818,FIRST
PNR000134,P000134,FL04665,BUSINESS
PNR000135,P000135,FL00224,BUSINESS
PNR000136,P000136,FL09044,ECONOMY
PNR000137,P000137,FL08360,FIRST
PNR000138,P000138,FL02930,ECONOMY
PNR000139,P000139,FL09082,FIRST
PNR000140,P000140,FL05931,FIRST
PNR000141,P000141,FL00435,BUSINESS
PNR000142,P000142,FL03633,FIRST
PNR000143,P000143,FL08257,FIRST
PNR000144,P000144,FL04349,ECONOMY
PNR000145,P000145,FL02706,BUSINESS
PNR000146,P000146,FL08255,FIRST
PNR000147,P000147,FL02904,ECONOMY
PNR000148,P000148,FL07875,BUSINESS
PNR000149,P000149,FL08820,FIRST
PNR000150,P000150,FL00206,BUSINESS
PNR000151,P000151,FL09273,FIRST
PNR000152,P000152,FL07345,BUSINESS
PNR000153,P000153,FL05827,BUSINESS
PNR000154,P000154,FL00720,ECONOMY
PNR000155,P000155,FL03421,FIRST
PNR000156,P000156,FL08656,ECONOMY
PNR000157,P000157,FL05409,BUSINESS
PNR000158,P000158,FL00188,ECONOMY
PNR000159,P000159,FL06480,FIRST
PNR000160,P000160,FL09577,BUSINESS
PNR000161,P000161,FL09076,BUSINESS
PNR000162,P000162,FL01391,FIRST
PNR000163,P000163,FL06176,BUSINESS
PNR000164,P000164,FL06221,BUSINESS
PNR000165,P000165,FL08334,FIRST
PNR000166,P000166,FL07092,ECONOMY
PNR000167,P000167,FL03335,ECONOMY
PNR000168,P000168,FL03542,FIRST
PNR000169,P000169,FL09907,ECONOMY
PNR000170,P000170,FL03011,FIRST
PNR000171,P000171,FL06116,FIRST
PNR000172,P000172,FL08543,FIRST
PNR000173,P000173,FL03163,BUSINESS
PNR000174,P000174,FL02085,FIRST
PNR000175,P000175,FL00529,ECONOMY
PNR000176,P000176,FL06551,ECONOMY
PNR000177,P000177,FL01122,ECONOMY
PNR000178,P000178,FL04591,ECONOMY
PNR000179,P000179,FL06830,FIRST
PNR000180,P000180,FL09915,BUSINESS
PNR000181,P000181,FL05338,BUSINESS
PNR000182,P000182,FL01108,FIRST
PNR000183,P000183,FL01126,FIRST
PNR000184,P000184,FL04881,FIRST
PNR000185,P000185,FL01041,FIRST
PNR000186,P000186,FL09542,FIRST
PNR000187,P000187,FL04450,BUSINESS
PNR000188,P000188,FL00313,BUSINESS
PNR000189,P000189,FL05146,BUSINESS
PNR000190,P000190,FL00514,BUSINESS
PNR000191,P000191,FL03445,BUSINESS
PNR000192,P000192,FL07759,BUSINESS
PNR000193,P000193,FL08520,FIRST
PNR000194,P000194,FL02407,ECONOMY
PNR000195,P000195,FL05821,BUSINESS
PNR000196,P000196,FL09744,BUSINESS
PNR000197,P000197,FL06364,ECONOMY
PNR000198,P000198,FL06130,BUSINESS
PNR000199,P000199,FL06617,ECONOMY
PNR000200,P000200,FL00452,FIRST
PNR000201,P000201,FL05694,BUSINESS
PNR000202,P000202,FL02499,FIRST
PNR000203,P000203,FL05101,ECONOMY
PNR000204,P000204,FL07649,FIRST
PNR000205,P000205,FL06934,BUSINESS
PNR000206,P000206,FL02446,BUSINESS
PNR000207,P000207,FL05615,BUSINESS
PNR000208,P000208,FL04412,BUSINESS
PNR000209,P000209,FL09949,FIRST
PNR000210,P000210,FL05625,FIRST
PNR000211,P000211,FL03623,ECONOMY
PNR000212,P000212,FL01001,BUSINESS
PNR000213,P000213,FL09635,ECONOMY
PNR000214,P000214,FL06936,ECONOMY
PNR000215,P000215,FL06065,FIRST
PNR000216,P000216,FL07919,FIRST
PNR000217,P000217,FL02755,ECONOMY
PNR000218,P000218,FL07420,BUSINESS
PNR000219,P000219,FL06333,BUSINESS
PNR000220,P000220,FL05527,BUSINESS
PNR000221,P000221,FL01880,BUSINESS
PNR000222,P000222,FL03605,BUSINESS
PNR000223,P000223,FL05248,FIRST
PNR000224,P000224,FL02883,ECONOMY
PNR000225,P000225,FL08804,BUSINESS
PNR000226,P000226,FL04870,FIRST
PNR000227,P000227,FL08204,FIRST
PNR000228,P000228,FL05981,BUSINESS
PNR000229,P000229,FL02445,ECONOMY
PNR000230,P000230,FL09588,ECONOMY
PNR000231,P000231,FL01107,BUSINESS
PNR000232,P000232,FL03559,ECONOMY
PNR000233,P000233,FL04108,BUSINESS
PNR000234,P000234,FL06877,FIRST
PNR000235,P000235,FL06554,ECONOMY
PNR000236,P000236,FL03846,BUSINESS
PNR000237,P000237,FL03895,BUSINESS
PNR000238,P000238,FL05223,FIRST
PNR000239,P000239,FL07399,FIRST
PNR000240,P000240,FL00746,FIRST
PNR000241,P000241,FL04431,BUSINESS
PNR000242,P000242,FL03236,BUSINESS
PNR000243,P000243,FL08373,FIRST
PNR000244,P000244,FL01462,FIRST
PNR000245,P000245,FL00690,ECONOMY
PNR000246,P000246,FL04051,FIRST
PNR000247,P000247,FL06836,BUSINESS
PNR000248,P000248,FL00050,ECONOMY
PNR000249,P000249,FL06445,ECONOMY
PNR000250,P000250,FL06626,ECONOMY
PNR000251,P000251,FL09582,BUSINESS
PNR000252,P000252,FL06905,ECONOMY
PNR000253,P000253,FL02993,FIRST
PNR000254,P000254,FL07984,FIRST
PNR000255,P000255,FL09105,BUSINESS
PNR000256,P000256,FL06295,BUSINESS
PNR000257,P000257,FL04111,FIRST
PNR000258,P000258,FL02142,BUSINESS
PNR000259,P000259,FL08284,BUSINESS
PNR000260,P000260,FL03520,ECONOMY
PNR000261,P000261,FL07841,ECONOMY
PNR000262,P000262,FL07068,BUSINESS
PNR000263,P000263,FL02062,ECONOMY
PNR000264,P000264,FL09041,BUSINESS
PNR000265,P000265,FL07988,BUSINESS
PNR000266,P000266,FL09323,ECONOMY
PNR000267,P000267,FL09003,BUSINESS
PNR000268,P000268,FL01074,FIRST
PNR000269,P000269,FL05618,ECONOMY
PNR000270,P000270,FL09056,ECONOMY
PNR000271,P000271,FL04740,BUSINESS
PNR000272,P000272,FL03742,ECONOMY
PNR000273,P000273,FL07762,ECONOMY
PNR000274,P000274,FL07445,BUSINESS
PNR000275,P000275,FL06233,ECONOMY
PNR000276,P000276,FL04486,ECONOMY
PNR000277,P000277,FL01530,ECONOMY
PNR000278,P000278,FL09533,FIRST
PNR000279,P000279,FL03201,FIRST
PNR000280,P000280,FL00366,BUSINESS
PNR000281,P000281,FL07644,BUSINESS
PNR000282,P000282,FL04717,ECONOMY
PNR000283,P000283,FL08624,ECONOMY
PNR000284,P000284,FL03250,BUSINESS
PNR000285,P000285,FL09963,FIRST
PNR000286,P000286,FL06711,ECONOMY
PNR000287,P000287,FL05689,BUSINESS
PNR000288,P000288,FL08853,BUSINESS
PNR000289,P000289,FL06785,BUSINESS
PNR000290,P000290,FL04227,ECONOMY
PNR000291,P000291,FL09888,FIRST
PNR000292,P000292,FL06221,BUSINESS
PNR000293,P000293,FL02636,BUSINESS
PNR000294,P000294,FL02634,FIRST
PNR000295,P000295,FL00954,BUSINESS
PNR000296,P000296,FL04948,ECONOMY
PNR000297,P000297,FL03831,ECONOMY
PNR000298,P000298,FL00754,BUSINESS
PNR000299,P000299,FL05984,BUSINESS
PNR000300,P000300,FL03922,BUSINESS
PNR000301,P000301,FL04650,BUSINESS
PNR000302,P000302,FL01793,ECONOMY
PNR000303,P000303,FL09006,ECONOMY
PNR000304,P000304,FL03256,ECONOMY
PNR000305,P000305,FL08677,ECONOMY
PNR000306,P000306,FL05780,FIRST
PNR000307,P000307,FL02959,ECONOMY
PNR000308,P000308,FL05820,BUSINESS
PNR000309,P000309,FL09401,FIRST
PNR000310,P000310,FL08360,BUSINESS
PNR000311,P000311,FL02599,ECONOMY
PNR000312,P000312,FL07152,FIRST
PNR000313,P000313,FL04955,ECONOMY
PNR000314,P000314,FL04574,BUSINESS
PNR000315,P000315,FL05843,ECONOMY
PNR000316,P000316,FL00979,BUSINESS
PNR000317,P000317,FL08778,FIRST
PNR000318,P000318,FL02067,BUSINESS
PNR000319,P000319,FL00355,ECONOMY
PNR000320,P000320,FL03904,BUSINESS
PNR000321,P000321,FL07390,ECONOMY
PNR000322,P000322,FL05360,ECONOMY
PNR000323,P000323,FL08962,BUSINESS
PNR000324,P000324,FL09204,FIRST
PNR000325,P000325,FL06800,BUSINESS
PNR000326,P000326,FL00055,ECONOMY
PNR000327,P000327,FL03108,ECONOMY
PNR000328,P000328,FL09034,BUSINESS
PNR000329,P000329,FL04940,BUSINESS
PNR000330,P000330,FL08893,FIRST
PNR000331,P000331,FL04164,FIRST
PNR000332,P000332,FL03510,FIRST
PNR000333,P000333,FL03345,BUSINESS
PNR000334,P000334,FL00306,ECONOMY
PNR000335,P000335,FL00721,ECONOMY
PNR000336,P000336,FL06875,FIRST
PNR000337,P000337,FL02443,FIRST
PNR000338,P000338,FL04974,BUSINESS
PNR000339,P000339,FL05035,FIRST
PNR000340,P000340,FL08249,ECONOMY
PNR000341,P000341,FL08054,BUSINESS
PNR000342,P000342,FL00228,BUSINESS
PNR000343,P000343,FL00286,BUSINESS
PNR000344,P000344,FL08515,BUSINESS
PNR000345,P000345,FL04677,BUSINESS
PNR000346,P000346,FL03320,BUSINESS
PNR000347,P000347,FL07515,BUSINESS
PNR000348,P000348,FL02608,BUSINESS
PNR000349,P000349,FL08149,ECONOMY
PNR000350,P000350,FL00848,FIRST
PNR000351,P000351,FL02723,ECONOMY
PNR000352,P000352,FL09822,BUSINESS
PNR000353,P000353,FL05927,ECONOMY
PNR000354,P000354,FL05472,ECONOMY
PNR000355,P000355,FL05429,BUSINESS
PNR000356,P000356,FL05295,ECONOMY
PNR000357,P000357,FL04982,BUSINESS
PNR000358,P000358,FL08553,BUSINESS
PNR000359,P000359,FL05104,BUSINESS
PNR000360,P000360,FL03579,FIRST
PNR000361,P000361,FL07204,FIRST
PNR000362,P000362,FL08374,FIRST
PNR000363,P000363,FL02033,ECONOMY
PNR000364,P000364,FL06551,FIRST
PNR000365,P000365,FL06746,FIRST
PNR000366,P000366,FL08369,BUSINESS
PNR000367,P000367,FL06478,ECONOMY
PNR000368,P000368,FL02235,BUSINESS
PNR000369,P000369,FL04653,FIRST
PNR000370,P000370,FL05677,BUSINESS
PNR000371,P000371,FL05118,ECONOMY
PNR000372,P000372,FL00677,FIRST
PNR000373,P000373,FL04705,FIRST
PNR000374,P000374,FL00882,BUSINESS
PNR000375,P000375,FL01659,BUSINESS
PNR000376,P000376,FL07376,FIRST
PNR000377,P000377,FL03456,ECONOMY
PNR000378,P000378,FL08527,FIRST
PNR000379,P000379,FL06422,BUSINESS
PNR000380,P000380,FL01574,ECONOMY
PNR000381,P000381,FL07216,ECONOMY
PNR000382,P000382,FL03564,BUSINESS
PNR000383,P000383,FL09346,FIRST
PNR000384,P000384,FL01419,BUSINESS
PNR000385,P000385,FL06044,FIRST
PNR000386,P000386,FL08922,BUSINESS
PNR000387,P000387,FL06261,FIRST
PNR000388,P000388,FL06573,FIRST
PNR000389,P000389,FL09010,ECONOMY
PNR000390,P000390,FL02795,FIRST
PNR000391,P000391,FL09248,BUSINESS
PNR000392,P000392,FL08910,ECONOMY
PNR000393,P000393,FL08889,FIRST
PNR000394,P000394,FL06407,FIRST
PNR000395,P000395,FL07285,ECONOMY
PNR000396,P000396,FL00067,FIRST
PNR000397,P000397,FL02547,BUSINESS
PNR000398,P000398,FL09656,BUSINESS
PNR000399,P000399,FL03487,ECONOMY
PNR000400,P000400,FL07442,FIRST
PNR000401,P000401,FL08025,BUSINESS
PNR000402,P000402,FL02937,BUSINESS
PNR000403,P000403,FL04260,BUSINESS
PNR000404,P000404,FL04988,FIRST
PNR000405,P000405,FL01337,BUSINESS
PNR000406,P000406,FL09373,ECONOMY
PNR000407,P000407,FL09569,FIRST
PNR000408,P000408,FL08177,BUSINESS
PNR000409,P000409,FL09053,ECONOMY
PNR000410,P000410,FL02903,FIRST
PNR000411,P000411,FL04629,BUSINESS
PNR000412,P000412,FL09677,ECONOMY
PNR000413,P000413,FL05185,ECONOMY
PNR000414,P000414,FL03891,ECONOMY
PNR000415,P000415,FL04666,ECONOMY
PNR000416,P000416,FL05709,ECONOMY
PNR000417,P000417,FL09323,ECONOMY
PNR000418,P000418,FL05567,FIRST
PNR000419,P000419,FL02257,BUSINESS
PNR000420,P000420,FL09834,BUSINESS
PNR000421,P000421,FL02029,FIRST
PNR000422,P000422,FL01781,ECONOMY
PNR000423,P000423,FL00472,FIRST
PNR000424,P000424,FL04345,ECONOMY
PNR000425,P000425,FL04849,ECONOMY
PNR000426,P000426,FL04590,BUSINESS
PNR000427,P000427,FL02864,BUSINESS
PNR000428,P000428,FL05185,ECONOMY
PNR000429,P000429,FL07171,FIRST
PNR000430,P000430,FL02311,FIRST
PNR000431,P000431,FL02112,FIRST
PNR000432,P000432,FL05256,FIRST
PNR000433,P000433,FL04972,BUSINESS
PNR000434,P000434,FL04890,ECONOMY
PNR000435,P000435,FL06427,BUSINESS
PNR000436,P000436,FL03077,ECONOMY
PNR000437,P000437,FL02861,ECONOMY
PNR000438,P000438,FL03068,FIRST
PNR000439,P000439,FL07386,BUSINESS
PNR000440,P000440,FL01911,ECONOMY
PNR000441,P000441,FL05523,FIRST
PNR000442,P000442,FL05222,ECONOMY
PNR000443,P000443,FL01833,BUSINESS
PNR000444,P000444,FL03337,FIRST
PNR000445,P000445,FL07148,ECONOMY
PNR000446,P000446,FL04019,FIRST
PNR000447,P000447,FL06422,FIRST
PNR000448,P000448,FL05463,FIRST
PNR000449,P000449,FL03859,ECONOMY
PNR000450,P000450,FL01745,ECONOMY
PNR000451,P000451,FL04133,FIRST
PNR000452,P000452,FL02176,BUSINESS
PNR000453,P000453,FL09106,ECONOMY
PNR000454,P000454,FL08236,ECONOMY
PNR000455,P000455,FL04396,ECONOMY
PNR000456,P000456,FL09701,ECONOMY
PNR000457,P000457,FL02080,ECONOMY
PNR000458,P000458,FL06112,BUSINESS
PNR000459,P000459,FL03869,ECONOMY
PNR000460,P000460,FL08077,ECONOMY
PNR000461,P000461,FL06695,BUSINESS
PNR000462,P000462,FL03410,ECONOMY
PNR000463,P000463,FL09525,FIRST
PNR000464,P000464,FL03281,ECONOMY
PNR000465,P000465,FL07089,ECONOMY
PNR000466,P000466,FL04231,BUSINESS
PNR000467,P000467,FL00937,ECONOMY
PNR000468,P000468,FL00911,BUSINESS
PNR000469,P000469,FL07727,FIRST
PNR000470,P000470,FL00311,ECONOMY
PNR000471,P000471,FL07467,FIRST
PNR000472,P000472,FL07954,BUSINESS
PNR000473,P000473,FL02638,ECONOMY
PNR000474,P000474,FL02080,ECONOMY
PNR000475,P000475,FL01183,FIRST
PNR000476,P000476,FL02074,FIRST
PNR000477,P000477,FL07960,BUSINESS
PNR000478,P000478,FL00698,ECONOMY
PNR000479,P000479,FL00161,BUSINESS
PNR000480,P000480,FL02759,ECONOMY
PNR000481,P000481,FL05454,FIRST
PNR000482,P000482,FL04024,ECONOMY
PNR000483,P000483,FL07356,ECONOMY
PNR000484,P000484,FL01241,FIRST
PNR000485,P000485,FL06457,BUSINESS
PNR000486,P000486,FL02401,BUSINESS
PNR000487,P000487,FL06129,BUSINESS
PNR000488,P000488,FL06017,BUSINESS
PNR000489,P000489,FL08189,FIRST
PNR000490,P000490,FL09355,BUSINESS
PNR000491,P000491,FL02371,ECONOMY
PNR000492,P000492,FL02011,BUSINESS
PNR000493,P000493,FL09926,ECONOMY
PNR000494,P000494,FL05015,FIRST
PNR000495,P000495,FL07289,BUSINESS
PNR000496,P000496,FL09383,ECONOMY
PNR000497,P000497,FL04757,FIRST
PNR000498,P000498,FL03131,BUSINESS
PNR000499,P000499,FL00533,FIRST
PNR000500,P000500,FL01555,FIRST
PNR000501,P000501,FL03698,FIRST
PNR000502,P000502,FL09115,FIRST
PNR000503,P000503,FL02180,FIRST
PNR000504,P000504,FL01109,BUSINESS
PNR000505,P000505,FL09847,FIRST
PNR000506,P000506,FL08342,BUSINESS
PNR000507,P000507,FL07689,ECONOMY
PNR000508,P000508,FL04602,FIRST
PNR000509,P000509,FL04230,ECONOMY
PNR000510,P000510,FL01639,ECONOMY
PNR000511,P000511,FL09181,ECONOMY
PNR000512,P000512,FL01453,ECONOMY
PNR000513,P000513,FL00306,FIRST
PNR000514,P000514,FL02809,BUSINESS
PNR000515,P000515,FL05859,FIRST
PNR000516,P000516,FL08156,BUSINESS
PNR000517,P000517,FL06498,ECONOMY
PNR000518,P000518,FL09967,BUSINESS
PNR000519,P000519,FL00615,BUSINESS
PNR000520,P000520,FL09206,ECONOMY
PNR000521,P000521,FL03628,FIRST
PNR000522,P000522,FL08610,BUSINESS
PNR000523,P000523,FL00391,FIRST
PNR000524,P000524,FL08210,ECONOMY
PNR000525,P000525,FL08436,BUSINESS
PNR000526,P000526,FL02395,BUSINESS
PNR000527,P000527,FL06027,BUSINESS
PNR000528,P000528,FL09778,ECONOMY
PNR000529,P000529,FL01665,ECONOMY
PNR000530,P000530,FL03332,FIRST
PNR000531,P000531,FL03814,BUSINESS
PNR000532,P000532,FL06699,BUSINESS
PNR000533,P000533,FL02755,BUSINESS
PNR000534,P000534,FL06363,FIRST
PNR000535,P000535,FL02023,ECONOMY
PNR000536,P000536,FL09634,ECONOMY
PNR000537,P000537,FL00374,BUSINESS
PNR000538,P000538,FL00433,ECONOMY
PNR000539,P000539,FL00356,ECONOMY
PNR000540,P000540,FL04726,ECONOMY
PNR000541,P000541,FL06747,FIRST
PNR000542,P000542,FL06088,FIRST
PNR000543,P000543,FL06024,ECONOMY
PNR000544,P000544,FL04591,ECONOMY
PNR000545,P000545,FL08126,ECONOMY
PNR000546,P000546,FL08227,ECONOMY
PNR000547,P000547,FL09383,BUSINESS
PNR000548,P000548,FL05116,FIRST
PNR000549,P000549,FL09509,BUSINESS
PNR000550,P000550,FL00754,FIRST
PNR000551,P000551,FL06993,FIRST
PNR000552,P000552,FL04003,ECONOMY
PNR000553,P000553,FL05567,BUSINESS
PNR000554,P000554,FL02108,ECONOMY
PNR000555,P000555,FL07140,ECONOMY
PNR000556,P000556,FL04094,ECONOMY
PNR000557,P000557,FL09496,ECONOMY
PNR000558,P000558,FL08493,BUSINESS
PNR000559,P000559,FL06178,ECONOMY
PNR000560,P000560,FL04231,FIRST
PNR000561,P000561,FL00994,FIRST
PNR000562,P000562,FL06716,ECONOMY
PNR000563,P000563,FL04716,FIRST
PNR000564,P000564,FL01756,FIRST
PNR000565,P000565,FL02131,BUSINESS
PNR000566,P000566,FL05471,FIRST
PNR000567,P000567,FL09834,FIRST
PNR000568,P000568,FL06668,ECONOMY
PNR000569,P000569,FL06009,BUSINESS
PNR000570,P000570,FL09910,ECONOMY
PNR000571,P000571,FL01438,BUSINESS
PNR000572,P000572,FL02955,BUSINESS
PNR000573,P000573,FL04519,ECONOMY
PNR000574,P000574,FL08815,ECONOMY
PNR000575,P000575,FL05800,BUSINESS
PNR000576,P000576,FL02114,FIRST
PNR000577,P000577,FL06729,BUSINESS
PNR000578,P000578,FL07517,BUSINESS
PNR000579,P000579,FL03232,BUSINESS
PNR000580,P000580,FL06992,BUSINESS
PNR000581,P000581,FL09473,ECONOMY
PNR000582,P000582,FL00244,BUSINESS
PNR000583,P000583,FL08838,ECONOMY
PNR000584,P000584,FL00524,ECONOMY
PNR000585,P000585,FL07568,BUSINESS
PNR000586,P000586,FL04103,FIRST
PNR000587,P000587,FL08944,FIRST
PNR000588,P000588,FL00342,FIRST
PNR000589,P000589,FL03987,BUSINESS
PNR000590,P000590,FL04205,ECONOMY
PNR000591,P000591,FL02564,ECONOMY
PNR000592,P000592,FL02230,FIRST
PNR000593,P000593,FL04851,FIRST
PNR000594,P000594,FL04828,BUSINESS
PNR000595,P000595,FL08367,BUSINESS
PNR000596,P000596,FL03694,BUSINESS
PNR000597,P000597,FL07313,ECONOMY
PNR000598,P000598,FL01574,FIRST
PNR000599,P000599,FL00327,ECONOMY
PNR000600,P000600,FL06036,FIRST
PNR000601,P000601,FL04096,BUSINESS
PNR000602,P000602,FL05645,ECONOMY
PNR000603,P000603,FL08992,BUSINESS
PNR000604,P000604,FL07664,FIRST
PNR000605,P000605,FL06961,FIRST
PNR000606,P000606,FL01617,FIRST
PNR000607,P000607,FL04020,ECONOMY
PNR000608,P000608,FL09088,FIRST
PNR000609,P000609,FL06245,ECONOMY
PNR000610,P000610,FL02401,FIRST
PNR000611,P000611,FL06872,BUSINESS
PNR000612,P000612,FL01365,ECONOMY
PNR000613,P000613,FL05824,BUSINESS
PNR000614,P000614,FL02251,BUSINESS
PNR000615,P000615,FL05950,ECONOMY
PNR000616,P000616,FL05324,BUSINESS
PNR000617,P000617,FL07846,ECONOMY
PNR000618,P000618,FL07694,ECONOMY
PNR000619,P000619,FL00301,FIRST
PNR000620,P000620,FL07259,ECONOMY
PNR000621,P000621,FL07793,BUSINESS
PNR000622,P000622,FL03908,BUSINESS
PNR000623,P000623,FL02083,ECONOMY
PNR000624,P000624,FL04958,FIRST
PNR000625,P000625,FL01205,ECONOMY
PNR000626,P000626,FL07768,FIRST
PNR000627,P000627,FL08424,BUSINESS
PNR000628,P000628,FL07171,BUSINESS
PNR000629,P000629,FL03621,ECONOMY
PNR000630,P000630,FL03266,ECONOMY
PNR000631,P000631,FL00618,ECONOMY
PNR000632,P000632,FL01440,FIRST
PNR000633,P000633,FL04102,ECONOMY
PNR000634,P000634,FL08020,FIRST
PNR000635,P000635,FL02871,FIRST
PNR000636,P000636,FL05318,BUSINESS
PNR000637,P000637,FL04785,ECONOMY
PNR000638,P000638,FL00390,BUSINESS
PNR000639,P000639,FL01791,BUSINESS
PNR000640,P000640,FL07593,BUSINESS
PNR000641,P000641,FL02301,FIRST
PNR000642,P000642,FL06337,ECONOMY
PNR000643,P000643,FL02421,BUSINESS
PNR000644,P000644,FL04769,FIRST
PNR000645,P000645,FL03366,FIRST
PNR000646,P000646,FL07775,BUSINESS
PNR000647,P000647,FL09893,FIRST
PNR000648,P000648,FL09863,FIRST
PNR000649,P000649,FL08040,FIRST
PNR000650,P000650,FL09889,ECONOMY
PNR000651,P000651,FL05488,BUSINESS
PNR000652,P000652,FL02877,FIRST
